Old_name	New_name	Library_name	Population	Position in cluster	Sex
GE05	GE05	Georgian5	GE	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/Georgian5/Georgian5.bam	2
GE06	GE06	Georgian6	GE	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/Georgian6/Georgian6.bam	2
SB01	SB01	SB01	SB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/SB01/SB01.bam	1
SB02	SB02	SB02	SB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/SB02/SB02.bam	1
SB03	SB03	SB03	SB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/SB03/SB03.bam	2
SB04	SB04	SB04	SB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/SB04/SB04.bam	2
SB05	SB05	SB05	SB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/SB05/SB05.bam	1
SGP	SGP	SGP	SGP	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/SGP/SGP.bam	1
USA	USA	USA	USA	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/USA/USA.bam	2
WC01	WC01	IC01	WC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC01/IC01.bam	1
WC02	WC02	IC02	WC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC02/IC02.bam	2
WC03	WC03	IC03	WC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC03/IC03.bam	2
WC04	WC04	IC04	WC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC04/IC04.bam	1
WC05	WC05	IC05	WC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC05/IC05.bam	1
WC06	WC06	IC06	WC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC06/IC06.bam	2
WC07	WC07	IC07	WC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC07/IC07.bam	1
WC08	WC08	IC08	WC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC08/IC08.bam	1
WC09	WC09	IC09	WC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC09/IC09.bam	1
WC10	WC10	IC10	WC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC10/IC10.bam	2
